code;url;product_name;brands;stores;traces_fr;nutrition_grade_fr;main_category_fr;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
20030049;http://world-fr.openfoodfacts.org/produit/20030049/choco-pouce-sondey;Choco Pouce;Sondey;Lidl;;e;Biscuits;2116;25;15;62;36;2.3;7;0.254
20034184;http://world-fr.openfoodfacts.org/produit/20034184/amaretti-italian-biscuits-italiamo;Amaretti Italian Biscuits;Italiamo;LIDL;Gluten,Fruits à coque;d;Biscuits;1840;10.2;0.6;77.7;74;;6.9;0.2
20057459;http://world-fr.openfoodfacts.org/produit/20057459/gouters-fourres-gout-vanille-sondey;Gouters fourrés goût Vanille;Sondey;Lidl;Œufs,Fruits à coque,Soja,Anhydride sulfureux et sulfites;e;Biscuits;2085;21;13;71;36;2;5;0.254
20063399;http://world-fr.openfoodfacts.org/produit/20063399/tortilla-mais-chips-classic-crusti-croc;Tortilla mais-chips classic;Crusti croc;Lidl;Gluten,Lait;c;Chips et frites;1979;20;2;64.4;1.5;0;6.6;0.899999999999999
20065478;http://world-fr.openfoodfacts.org/produit/20065478/brioche-pur-beurre-aux-oeufs-tranchee-maitre-jean-pierre;Brioche Pur beurre-Aux oeufs-Tranchée;Maître Jean Pierre;;Fruits à coque;d;Petit-déjeuners;1506;12.5;8;53;11;;7.5;1.06
20067250;http://world-fr.openfoodfacts.org/produit/20067250/ble-souffle-au-caramel-crownfield;Blé soufflé au caramel;Crownfield;Lidl;Lait,Fruits à coque,Arachides;c;Petit-déjeuners;1598;1.5;0.1;81.3;34;6;6;0.0254
20070519;http://world-fr.openfoodfacts.org/produit/20070519/mouline-de-7-legumes-varies-toque-du-chef;Mouliné de 7 légumes variés;Toque du chef;Lidl;;b;Soupes;136;1.2;0.6;4.4;1.4;1.7;1;0.762
20071943;http://world-fr.openfoodfacts.org/produit/20071943/fruchte-musli-master-crumble;Früchte - Müsli;Master Crumble;Lidl;Lait,Fruits à coque,Arachides,Graines de sésame,Soja;b;Petit-déjeuners;1406;4.4;1.3;61.4;24.5;9.3;8;0.1
20077310;http://world-fr.openfoodfacts.org/produit/20077310/chips-nature-crusti-croc;Chips nature;Crusti croc;Lidl;Céleri,Gluten,Lait,Soja;c;Chips et frites;2276;34;2.7;52;0.5;4;6;1.524
20077327;http://world-fr.openfoodfacts.org/produit/20077327/paprika-crusti-croc;Paprika;Crusti Croc;Lidl;Céleri,Soja;d;Chips et frites;2251;34;2.7;50.5;2.2;;6;1.68
20080990;http://world-fr.openfoodfacts.org/produit/20080990/chips-saveur-paprika-pfiff;Chips saveur paprika;Pfiff;Norma;Moutarde;d;Chips et frites;2280;35;3.3;50.2;1.4;5;5.4;1.74
20082986;http://world-fr.openfoodfacts.org/produit/20082986/envitas-cereales-pepites-de-chocolat-sondey;Envitas Céréales & Pépites de Chocolat;Sondey,Lidl;;Œufs,Fruits à coque,Arachides;d;Biscuits;1945;17.5;4;64.5;28;7;8.5;0.72
20083960;http://world-fr.openfoodfacts.org/produit/20083960/boules-cereales-au-cacao-crownfield;Boules céréales au cacao;crôwnfield;Lidl;Lait,Fruits à coque,Arachides;b;Petit-déjeuners;1616;3.3;0.9;71.9;22.4;9.1;11.7;0.65
